key,en,ru,pt-br,tr-tr,zh-cn,es-es,de,fr-fr,jp,ko,pl,notes
action_desc_cc_antimatter_field_enemy,Causes enemies to tear the world apart around them,Заставляет врагов разрывать мир вокруг себя,Faz com que os inimigos destruam o mundo ao seu redor,Düşmanların çevrelerini yok etmesine sebep olur,使敌人撕裂其周围的大地,,,,,,,
action_cc_sea_of_lightning,Sea of Lightning Powder,Море грозового порошка,Mar de pó de raio,Yıldırım Tozu Havuzu,雷霆粉末之海,,,,,,,
action_desc_cc_sea_of_lightning,Summons a large body of highly conductive powder,Призывает огромное количество электропроводящего порошка,Uma enorme quantidade de pó altamente condutivo é evocada,Büyük ölçüde yüksek iletkenli toz çağırır,召唤一大片高度导电的粉末,,,,,,,
action_cc_gunpowder_buff,Gunpowder Enhancer,Усилитель пороха,Intensificador de pólvora,Barut Yoğunlaştırıcı,火药增幅器,,,,,,,
action_desc_cc_gunpowder_buff,Makes nearby gunpowder more dangerous,Делает ближайший порох опаснее,Converte a polvóra dos arredores para uma versão mais perigosa,Çevredeki barutları daha tehlikeli yapar,使附近的火药更加危险,,,,,,,
action_cc_fire_to_grease,Fire Enhancer,Усилитель огня,Intesificador de fogo,Ateş Yoğunlaştırıcı,火焰增幅器,,,,,,,
action_desc_cc_fire_to_grease,Causes nearby fires to erupt violently,Заставляет ближайший огонь яростно вспыхнуть,Converte o fogo dos arredores para uma erupção violenta,Çevredeki ateşlerin şiddetle alevlenmesini sağlar,使附近的火焰猛烈爆发,,,,,,,
action_cc_gunpowder_cloud,Gunpowder Cloud,Пороховое облако,Nuvem de pólvora,Barut Bulutu,火药云,,,,,,,
action_desc_cc_gunpowder_cloud,???,???,???,???,???,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Status Effects!
,,,,,,,,,,,,
status_cc_ingestion_methane,Methane Poisoning,Отравление метаном,Envenenamento por metano,Methan Zehirlenmesi,甲烷中毒,,,,,,,
status_desc_cc_ingestion_methane,Everything is hazy.,Всё расплывается.,Tudo está nublado.,Her şey bulanıklaşıyor.,眼前一片模糊。,,,,,,,
status_cc_blindness,Blinded,Ослепление,Cegueira,Kör,失明,,,,,,,
status_desc_cc_blindness,Your eyes don't seem to be helping much.,"Кажется, от глаз мало толку.",Seus olhos não parecem ajudar muito.,Gözlerin pek bir işe yaramıyor gibi.,你的眼睛好像没什么作用了。,,,,,,,
status_cc_twitchy,Twitchy,Нервный тик,Nervoso,Gergin,抽搐,,,,,,,same as vanilla effect
status_cc_movement_slower_2x,Slowed,Замедление,Lentidão,Yavaşladın,减速,,,,,,,
status_desc_cc_movement_slower_2x,You feel sluggish,Вы чувствуете вялость,Você se sente lento,Hâlsiz hissediyorsun,你感觉自己慢吞吞,,,,,,,
status_cc_levitation_slower,Heavy,Тяжесть,Pesado,Ağır,沉重,,,,,,,
status_desc_cc_levitation_slower,It feels as if your bones are made of lead,"Кажется, ваши кости сделаны из свинца",Você sente como se seus ossos fossem feitos de chumbo,Kemiklerin çok ağır hissettiriyor,你感觉自己的骨头像是铅做的一样,,,,,,,
status_cc_exploding,Combusting,Самовозгорание,Em combustão,Alevlenme,燃烧,,,,,,,
status_desc_cc_exploding,Spontaneous combustion.,Самопроизвольное возгорание.,Combustão espontânea.,Anlık alevlenme,自燃。,,,,,,,
status_cc_exploding_era_nova,The Blazing Sun,,,,,,,,,,,
status_desc_cc_exploding_era_nova,With my flesh as kindling...\nLight the first dawn of the new world.,Пусть моё пылающее тело\nПусть моё пылающее тело,Com meu corpo como sua lenha...\nCom meu corpo como sua lenha...,,焚身作薪......\n为来世破晓...引火吧。,Con mi carne como combustible...\nEnciende las primeras luces del nuevo mundo.,Mit meinem Körper als Feuerholz ...\nErleuchtet die erste Morgendämmerung der neuen Welt.,Avec ma chair comme combustible...\nÉveillez la première aube du nouveau monde.,この身を薪に･･･\n次の輪廻の暁を･･･燃やそう,몸을 불태우는 불쏘시개가 되어......\n내세의 새벽을 위해... 불을 밝혀라,,translations taken directly from Honkai: Star Rail (i just think its neat)
status_cc_metastasizium,Infected,Заражение,Infectado,Enfeksiyon Kapmış,感染,,,,,,,
status_desc_cc_metastasizium,It wants to spread,Оно хочет распространиться,Ele quer se propagar.,Yayılmak istiyor,它想要扩散,,,,,,,
status_cc_nullium,Nullified,Обессиливание,Nulificado,Etkisizleşim,法力失效,,,,,,,
status_desc_cc_nullium,Your mana is being drained.,Ваша мана истощается.,Sua mana está sendo sugada.,Manan azalmaya başladı.,你的法力正在减少。,,,,,,,
status_desc_cc_nullium_dying,Your essence is being neutralised!,,,Your essence is being neutralised!,,,,,,,,
status_cc_edit_wands_everywhere,Tinker Anywhere,Изменение жезлов везде,Altere varinhas em qualquer canto,Her yerde Asaları Kurcala,随时修改魔杖,,,,,,,
status_desc_cc_edit_wands_everywhere,Were the Gods always singing such a lovely tune?,Боги всегда пели такие прекрасные песни?,Os Deuses sempre cantaram essa linda canção?,Tanrılar hep böyle güzel melodiler söyler miydi?,神明们总是在唱着如此动听的旋律吗？,,,,,,,
status_cc_increase_hp,Health Generation,Восстановление здоровья,Geração de vida,Can Yenilenmesi,生命值提升,,,,,,,
status_desc_cc_increase_hp,Your maximum health is slowly increasing.,Ваше максимальное здоровье медленно увеличивается.,Seu PV máximo está lentamente aumentando.,Maksimum canın yavaşça artıyor.,你的最大生命值在缓慢提升。,,,,,,,
status_cc_morphine,Painkillers,Болеутоляющие,Analgésicos,Ağrı Kesiciler,止痛药,,,,,,,
status_desc_cc_morphine,You feel unstoppable.,Вы чувствуете себя неудержимым.,Você se sente imparável.,Durdurulamaz gibi hissediyorsun.,你感觉自己势不可挡。,,,,,,,it should be clear you 'feel' unstoppable. because you are taking hard drugs. (medical painkiller technically but still addictive)
status_cc_antimatter,Annihilation,Аннигиляция,Aniquilação,İmha,湮灭,,,,,,,this is the term for when Matter and Anti-Matter (violently) cancel each-other out
status_desc_cc_antimatter,Every fibre of your being is getting torn apart!,Каждая клеточка вашего существа разрывается на части!,Toda fibra do seu ser está sendo rasgada!,Varlığının her dokusu paramparça ediliyor!,你的每一寸血肉都在被撕裂分解！,,,,,,,
status_cc_hydroxide,Hydroxide Poisoning,Отравление гидроксидом,Envenenamento por hidróxido,Hidroksit Zehirlenmesi,氢氧化物中毒,,,,,,,this effect should not be seen in-game; nor should the description below
status_desc_cc_hydroxide,you're dying lmao,"ты умираешь, лол",vc tá morrendo kkkkk,ölüyon birader,你要死了 乐,,,,,,,
status_cc_ironskin,Resistance,Сопротивление,Resistência,Dayanıklılık,抗性,,,,,,,
status_desc_cc_ironskin,You recieve less damage,Вы получаете меньше урона,Você recebe menos dano,Daha az hasar alıyorsun,你收到的伤害减少,,,,,,,
status_cc_warp,Warp,Искажение,Distorção,Çekiş,跃迁,,,,,,,
status_desc_cc_warp,You feel something pulling you in every direction,"Вы чувствуете, как вас тянет во все стороны",Você sente algo te puxar em todas as direções,Her yönden çekiştiriliyormuş gibi hissediyorsun,你感觉自己被四处拉扯,,,,,,,
status_cc_warp_sickness,Warp Sickness,Искажающая болезнь,Enjoo da distorção,Çekiş Hastalığı,跃迁眩晕,,,,,,,
status_desc_cc_warp_sickness,You feel as if your body was just turned inside out,"Кажется, ваше тело только что вывернуло наизнанку",Você sente como se seu corpo foi virado de dentro para fora,Vücudun tersyüz olmuş gibi hissediyorsun,你感觉自己的内脏好像被翻了出来,,,,,,,
status_cc_paradox,Paradox,,Paradoxo,Paradoks,悖论,,,,,,,
status_desc_cc_paradox,You feel time slipping.,,Você sente o tempo passar rapidamente.,Zaman bozuluyormuş gibi hissediyorsun.,你感觉时间正在流逝。,,,,,,,
status_cc_null_trip_1,Numb,,Dormente,Uyuşukluk,麻木,,,,,,,
status_desc_cc_null_trip_1,You feel hollow,,Você se sente vazio,Boşlukta hissediyorsun,你感觉空虚,,,,,,,
status_cc_null_trip_2,Bad Trip,,Bad Trip,Kafası Güzel,过激幻觉,,,,,,,referencing the Tripping effect from eating Weird Fungus
status_desc_cc_null_trip_2,You feel like a corpse reanimated,,Você se sente como um cadaver reanimado,Diriltilmiş bir ceset gibi hissediyorsun,你感觉像一具刚复活的尸体,,,,,,,
status_cc_null_trip_3,Hollowed,,Oco,Boşlukta,被掏空,,,,,,,
status_desc_cc_null_trip_3,A pervasive emptiness is flowing through your veins,,Um vazio está fluindo em suas veias,Vücuduna sinen boşluğu damarlarında hissediyorsun,你的血液里流淌着弥漫的虚无,,,,,,,
status_cc_null_trip_4,Null,,Nulo,Hiçlik,空无,,,,,,,
status_desc_cc_null_trip_4,The Universe is losing meaning,,O universo está perdendo o sentido,Evren anlamını kaybediyor,宇宙正在失去意义,,,,,,,
status_cc_nullified_trip,Something is missing,,Algo está faltando,Bir şeyler eksik,某些东西消失了,,,,,,,
statusdesc_cc_nullified_trip,You feel as though the universe is emptier than it once was,,Você sente como se o universo estivesse mais vazio do que antes,Evren önceden olduğundan daha boşmuş gibi hissediyorsun,你感觉宇宙比之前更加空寂了,,,,,,,
statis_cc_radstage_1,Radiation Poisoning,,Envenenamento por radiação,Radyasyon Zehirlenmesi,辐射中毒,,,,,,,
statis_cc_desc_radstage_1,Exposure to radiation is causing problems!\nRadcount: $0,,A exposição à radiação está causando problemas!\Rad: $0,Radyasyona maruz kalmak sorunlar oluşturuyor!\nRadsayacı: $0,暴露在辐射下引发了问题！\n辐射值：$0,,,,,,,Rads' is what Radiation is generally measured in
statis_cc_radstage_2,Irradiated,,Irradiado,Radyasyon Maruziyeti,受辐射,,,,,,,
statis_cc_desc_radstage_2,You feel a tingling sensation... you feel vulnerable\nRadcount: $0,,Você sente uma sensação de formigamento... Você se sente vulnerável\nRad: $0,Bir karıncalanma duygusu hissediyorsun... Savunmasız hissediyorsun\nRadsayacı: $0,你感觉刺痛...你觉得自己有些脆弱\n辐射值：$0,,,,,,,indicating that immunities are being disabled
statis_cc_radstage_3,Radiation Positioning,,Posicionamento radioativo,Radyasyon Zehirlenmesi,辐射定位,,,,,,,
statis_cc_desc_radstage_3,You're shivering in the warmth.\nRadcount: $0,,Você está se tremendo de calor.\nRad: $0,Sıcaklıkta titriyorsun.\nRadsayacı: $0,温暖使你颤抖。\n辐射值：$0,,,,,,,oxymoron with 'shivering' normally denoting coldness or chills
statis_cc_radstage_4,Radiation Burns,,Queimaduras por radiação,Radyasyon Yanıkları,辐射烧伤,,,,,,,
statis_cc_desc_radstage_4,You're flinching from the burns.\nRadcount: $0,,Você está estremecendo por conta das queimaduras.\nRad: $0,Yanıklardan korkuyorsun.\nRadsayacı: $0,烧伤使你畏缩。\n辐射值：$0,,,,,,,
statis_cc_radstage_5,Mutation,,Mutação,Mutasyon,突变,,,,,,,
statis_cc_desc_radstage_5,New appendages sprout forth!\nRadcount: $0,,Novos apêndices brotam!\nRad: $0,Yeni uzuvların filizleniyor!\nRadsayacı: $0,新的肢体长出来了！\n辐射值：$0,,,,,,,referring to the leggy limbs
statis_cc_radstage_6,Radiation gives you Superpowers!,,A radiação te dá Superpoderes!,Radyasyon sana Süper Güçler kazandırdı!,辐射给予了你超能力！,,,,,,,
statis_cc_desc_radstage_6,"You feel you should turn back now\nRadcount: $0\n\nThis is about as far as I've coded, sorgy :(",,"Você sente que seria melhor voltar atrás, agora.\nRad: $0",Artık geri dönmen gerektiğini düşünüyorsun.\nRadsayacı: $0,你觉得自己应该回头了\n辐射值：$0,,,,,,,
statis_cc_radstage_7,Internal Burns,,Queimaduras internas,İç Yanıklar,内脏烧伤,,,,,,,
statis_cc_desc_radstage_7,You feel going further would have dangerous consequences\nRadcount: ???,,Você sente que ir mais longe do que isso poderá ter consequências perigosas\nRad: ???,Daha fazla ileri gitmenin tehlikeli sonuçları olabileceğini hissediyorsun\nRadsayacı: ???,你感觉继续下去的话会有危险的后果\n辐射值：???,,,,,,,radcount reader can no longer interpret the radcount
statis_cc_radstage_8,RNA Recompiled,,RNA recompilado,RNA Derlemesi,RNA重编译,,,,,,,
statis_cc_desc_radstage_8,You feel any mutations from now on out are here to stay\nRadcount: Numbers are losing meaning,,Você sente que qualquer mutação a partir desse ponto estaram aqui para ficar\nRad: Números estão perdendo o sentido,Şu andan itibaren mutasyonlar kalıcı olacak gibi hissediyorsun\nRadsayacı: Sayılar anlamını kaybetmeye başlıyor,你感觉今后任何的突变都会一直留下来了\n辐射值：数字已经没什么意义了,,,,,,,radcount reader gives up on conveying your radcount
statis_cc_radstage_9,Radioactive Wasted,,Radioativamente chapado,Radyoaktif Atık,辐射烂醉,,,,,,,Wasted' as in Radioactive Waste and when you are Wasted
statis_cc_desc_radstage_9,Your veins flow with toxic radiation\nRadcount: But... what's beyond... ?,,Suas veias fluem com radiação impura\nRad: Mas... o que há além disso?...,Damarların saf olmayan radyasyonla dolup taşıyor\nRadsayacı: Ama... Daha ilerisinde ne var... ?,你的血液中流淌着污浊的辐射\n辐射值：但是...这之后还有什么...?,,,,,,,radcount is beginning to question the limits
statis_cc_radstage_10,Chaotic Mutations,,Mutações caóticas,Kaotik Mutasyonlar,混沌突变,,,,,,,
statis_cc_desc_radstage_10,You've lost control of your very being\nRadcount: A small price...,,Você perdeu controle do seu próprio ser\nRad: Um pequeno preço...,Varlığının kontrolünü kaybettin\nRadsayacı: Ufak bir bedel...,你失去了对自身的掌控\n辐射值：一个微不足道的代价...,,,,,,,"at this point, radcount reader is invested and is on this journey with you- curious to a dangerous degree"
statis_cc_radstage_11,Divine Warning,,Aviso divino,İlahi Uyarı,神圣警告,,,,,,,
statis_cc_desc_radstage_11,"The heavens command that you cease this folly\nRadcount: They can beg all they like, keep going.",,"Os ceús ordernam que você pare isso\nRad: Eles podem implorar o quanto quiserem, continue.",Tanrılar durmanı emrediyor\nRadsayacı: İstedikleri kadar yalvarabilirler,众神命令你停止\n辐射值：他们爱乞求就乞求吧，继续继续,,,,,,,radcount reader outright blaspheming the Gods in pursuit of reaching the end
statis_cc_radstage_12,Nuclear Overdrive,,Overdrive nuclear,Nükleer Aşırı Yüklenme,核过载,,,,,,,
statis_cc_desc_radstage_12,"Every fibre of your being is under attack\nRadcount: You are on the precipice...\nJust, a, little, bit, further...!",,"Toda fibra do seu ser está sob ataque\nRad: Você está no precipício...\nSó, mais, um, pouquinho...!","Varlığının her dokusu saldırı altında\nRadsayacı: Felaketin eşiğindesin...\nYalnızca, çok, az, daha...!",你的每一寸血肉都在被攻击！\n辐射值：就差临门一脚了...\n再，坚持，一下...！,,,,,,,
statis_cc_radstage_13,Radiant Blessing,,Bênção radiante,Parlaklık Lütfu,光明之佑,,,,,,,this stage is only properly viewable if the player has the radiation immunity perk (not to be confused with toxic immunity perk)
statis_cc_desc_radstage_13,Beautiful beams radiate forth!\nThe mechanism appears to have burst.,,Belos raios irradiam!\nO mecanismo parece ter explodido.,Güzel ışınımlar etrafa saçılıyor!\nMekanizma parçalanmış gibi gözüküyor.,灿烂的光芒辐照四处！\n机械好像爆炸了。,,,,,,,radcount reader has been destroyed
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Items!
,,,,,,,,,,,,
item_cc_runestone_crystal,Runestone of Crystals,Рунный камень кристаллов,Pedra rúnica de cristais,Kristallerin Runik Taşı,水晶符石,,,,,,,
itemdesc_runestone_crystal,Converts nearby liquids to a beautiful crystalline liquid,Превращает ближайшие жидкости в красивую кристаллическую жидкость,Converte líquidos ao seu redor em um lindo líquido cristalino,Çevredeki sıvıları güzel bir kristal sıvıya dönüştürür,将附近的液体变为美丽的液态水晶,,,,,,,unused- currently uses default runestone description
item_runestone_spells,Runestone of Spells,Рунный камень заклинаний,Pedra rúnica de feitiços,Büyülerin Runik Taşı,法术符石,,,,,,,
itemdesc_runestone_spells,Converts nearby liquids into a flurry of spells,,Converte projéteis ao seu redor em um aglomerado de feitiços,Çevredeki sıvıları kaotik biçimdeki büyülere dönüştürür,将附近的液体变为一阵法术,,,,,,,flurry meaning almost like a blizzard or gust of spells; a large chaotic cloud/collection of them
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Miscellaneous
,,,,,,,,,,,,
log_cc_tinkersong_secret,The Gods sing along to your song,,Os Deuses cantam juntos com sua canção,Tanrılar şarkına eşlik ediyor,众神与你一同歌唱,,,,,,,
log_cc_tinkersong_secrect_desc,Can you hear them?,,Você consegue ouvi-los?,Onları duyabiliyor musun?,你能听见他们吗？,,,,,,,
log_cc_mutagen_superpowers,Mutagen Upgrade,,Upgrade Mutagen,Mutajen Gelişimi,诱变升级,,,,,,,
log_cc_mutagen_superpowers_desc,Radiation gives you superpowers!,,A radiação te dá superpoderes!,Radyasyon sana süper güçler kazandırıyor!,辐射给予了你超能力！,,,,,,,
log_cc_nullified_trip_00,Your sense of reality flickers,,O seu sentido da realidade tremula,Gerçeklik algın bozulmaya başlıyor,你对现实的感知变动了,,,,,,,
log_cc_nullified_trip_01,You sense something is missing,,Você sente que algo está faltando,Bir şey eksikmiş gibi hissediyorsun,你感觉到某物缺失了,,,,,,,
log_cc_nullified_trip_02,Something has lost meaning,,Algo perdeu o sentido,Bir şey anlamını kaybetti,某物失去了意义,,,,,,,
log_cc_nullified_trip_03,You feel a void in the cosmos,,Você sente um vazio nos cosmos,Evrende bir boşluk hissediyorsun,你感觉到宇宙出现了虚无,,,,,,,
log_cc_nullified_trip_04,The universe feels emptier,,O universe parece mais vazio,Evren olduğundan daha boşmuş gibi hissettiriyor,你感觉到宇宙更加空寂了,,,,,,,
log_cc_nullified_trip_05,You feel a vague sense of loss,,Você sente uma vaga sensação de perda,Belirsiz bir kayıplık algısı hissediyorsun,你感受到了朦胧的丧失感,,,,,,,
logdesc_cc_nullified_trip,You hear something fade into quiet obscurity,,Você escuta algo desaparecer silenciosamente e obscuramente,Bir şeyin sessiz bir belirsizliğe yavaşça büründüğünü duyuyorsun,你听见某物遁入了虚无,,,,,,,
log_cc_paradox_warp,You feel as if you are no longer in the same place...,,Você sente que não está mais no mesmo lugar...,Artık aynı yerde değilmişsin gibi hissediyorsun...,你感觉自己不在同一个地方了...,,,,,,,
death_cc_morphine,Careful with those painkillers,,Cuidado com esses analgésicos,Ağrı kesicileri ağırdan alsan iyi olur,谨慎服用止痛药,,,,,,,death msg from when you die to something while Morphine is obfuscating your HP
death_cc_antimatter,Annihilation,,,,,,,,,,,annihilation specifically being the term for when Matter and Anti-Matter neutralise one another
cc_shield_depleted,Shield Depleted!,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Mystical Mixtures!
,,,,,,,,,,,,
,,,,,,,,,,,,Materials!
,,,,,,,,,,,,
mat_mm_bingus,Bingus,Бингус,Bingus,Bingus,哈基米,,,,,,,"search 'bingus cat', its the furless one"
mat_mm_bingus_wetfood,Wetfood,Влажный корм,Ração úmida,Kedi Maması,湿猫粮,,,,,,,cat wet food (mealtime food)
mat_mm_meat_bingus,Bingus,Бингус,Bingus,Bingus,哈基米,,,,,,,
mat_mm_catfood_container,Catfood Container,Контейнер для кошачьего корма,Container de ração para gatos,Kedi Maması Tenekesi,猫粮罐头,,,,,,,short can that contains cat Wetfood
mat_mm_alchemical_solvent,Alchemical Solvent,Алхимический растворитель,Solvente universal,Simyasal Çözelti,炼金溶剂,,,,,,,
desc_mm_alchemical_solvent,Alchemical solvent is a material which is used to create mystical solutions.,"Алхимический растворитель — это материал, который используется для создания мистических растворов.",O solvente universal é um material que é usado para criar soluções místicas.,Simyasal Çözelti gizemli çözeltileri oluşturmakta kullanılan bir maddedir.,炼金溶剂是一种用于制造神秘溶液的材料。,,,,,,,
mat_mm_alchemical_base,Alchemical Base,Алхимическая основа,Base alquímica,Simyasal Temel,炼金基底,,,,,,,base like a foundation of alchemy
desc_mm_alchemical_base,The base of all proper alchemy.,Основа всей правильной алхимии.,A base de toda alquimia adequada.,Bütün simyanın temeli.,所有真正炼金的基础。,,,,,,,
mat_mm_ephemeral_ether,Ephemeral Ether,Эфемерный эфир,Éter efêmero,Geçici Eter,瞬息以太,,,,,,,
desc_mm_ephemeral_ether,A volatile substance which evaporates quickly.\nA side product of many alchemical processes.\nUses are yet unknown.,"Летучее вещество, которое быстро испаряется.\nПобочный продукт многих алхимических процессов.\nПрименение пока неизвестно.",Uma substância volátil que evapora rapidamente.\nUm produto secundário de vários processos alquímicos.\nOs usos ainda são desconhecidos.,Çabuk buharlaşan uçucu bir madde.\nBirçok simya üretiminin bir yan ürünü.\nKullanımları henüz bilinmemektedir.,一种快速蒸发的活泼物质。\n许多炼金过程的副产物。\n用途仍不明确。,,,,,,,
mat_mm_desc_submystery,Substitate Nymphium,,Nínfio substitato,Substitate Nymphium,地之馈赠魔药,,,,,,,please DM @userk on discord if you are translating this
mat_mm_ephemeral_ether_gas,Ephemeral Ether Gas,Газообразный эфемерный эфир,Gás de éter efêmero,Geçici Eter Gazı,瞬息以太气体,,,,,,,
desc_mm_ephemeral_ether_gas,The evaporated form of Ephemeral Ether.,Испарённая форма эфемерного эфира.,A forma evaporada do éter efêmero.,Geçici Eterin buharlaşmış hâli.,蒸发形态的瞬息以太。,,,,,,,
mat_mm_gold_solution,Gold Solution,Раствор золота,Solução dourada,Altın Çözeltisi,黄金溶液,,,,,,,
